Date;Open;High;Low;Close*;Adj Close**;Volume
Jul 27, 2022;107.49;108.98;105.96;107.14;107.14;6,831
Jul 26, 2022;104.78;107.80;103.72;106.62;106.62;11,024
Jul 25, 2022;104.81;107.35;103.98;104.40;104.40;20,242
Jul 24, 2022;103.44;105.35;101.67;105.15;105.15;14,999
Jul 21, 2022;104.25;105.68;101.91;103.20;103.20;17,586
Jul 20, 2022;106.79;106.80;101.52;103.86;103.86;26,598
Jul 19, 2022;107.15;107.43;105.09;106.92;106.92;23,989
Jul 18, 2022;105.59;107.60;103.59;107.35;107.35;21,9
Jul 17, 2022;100.92;106.47;99.48;106.27;106.27;20,217
Jul 14, 2022;99.60;102.62;98.21;101.16;101.16;19,146
Jul 13, 2022;99.85;100.37;94.50;99.10;99.10;27,515
Jul 12, 2022;99.31;101.20;97.30;99.57;99.57;22,358
Jul 11, 2022;106.23;106.51;98.91;99.49;99.49;22,827
Jul 10, 2022;106.76;107.66;103.66;107.10;107.10;17,691
Jul 07, 2022;104.49;107.45;103.75;107.02;107.02;20,61
Jul 06, 2022;99.96;106.35;98.47;104.65;104.65;22,837
Jul 05, 2022;104.00;105.80;98.51;100.69;100.69;28,82
Jul 04, 2022;111.61;114.69;101.11;102.77;102.77;43,356
Jul 03, 2022;-;-;-;-;-;-
Jun 30, 2022;109.46;112.42;108.01;111.63;111.63;17,09
Jun 29, 2022;116.04;116.33;114.81;114.81;114.81;24,733
Jun 28, 2022;117.96;120.38;115.41;116.26;116.26;4,346
Jun 27, 2022;115.84;118.24;115.40;117.98;117.98;6,673
Jun 26, 2022;112.46;116.04;111.25;115.09;115.09;11,252
Jun 23, 2022;109.81;113.99;109.27;113.12;113.12;13,431
Jun 22, 2022;110.22;112.69;108.11;110.05;110.05;21,806
Jun 21, 2022;114.57;114.57;107.03;111.74;111.74;33,112
Jun 20, 2022;113.80;116.25;111.57;114.65;114.65;22,868
Jun 19, 2022;113.80;114.46;111.57;114.20;114.20;26,686
Jun 16, 2022;119.34;121.25;111.72;113.12;113.12;26,686
Jun 15, 2022;119.12;120.28;115.58;119.81;119.81;24,329
Jun 14, 2022;121.00;121.85;117.75;118.51;118.51;22,36
Jun 13, 2022;122.50;125.18;118.94;121.17;121.17;27,702
Jun 12, 2022;121.69;123.61;118.95;122.27;122.27;21,136
Jun 09, 2022;122.94;124.33;119.87;122.01;122.01;26,036
Jun 08, 2022;123.89;124.33;122.50;123.07;123.07;21,008
Jun 07, 2022;121.03;124.41;120.46;123.58;123.58;21,778
