Date,Open,High,Low,Close,Adj Close,Volume
2020-10-15,126.480003,129.100006,126.110001,129.000000,126.421867,4235800
2020-10-16,129.509995,130.190002,127.550003,128.000000,125.441841,6010900
2020-10-19,129.100006,129.779999,127.050003,127.430000,124.883240,5160800
2020-10-20,128.000000,129.899994,127.720001,128.490005,125.922058,3799200
2020-10-21,128.500000,131.380005,128.449997,129.429993,126.843262,4916300
2020-10-22,129.600006,130.259995,128.860001,130.020004,127.421494,2869900
2020-10-23,130.000000,130.600006,128.649994,129.990005,127.392097,4046300
2020-10-26,129.059998,129.619995,126.680000,128.369995,125.804459,5422500
2020-10-27,128.779999,129.490005,127.900002,127.989998,125.432053,2985700
2020-10-28,125.279999,126.400002,121.040001,122.080002,119.640167,8618300
2020-10-29,122.279999,124.190002,121.150002,122.860001,120.404579,4947000
2020-10-30,123.660004,123.660004,118.800003,120.080002,117.680138,7791600
2020-11-02,122.370003,124.099998,121.099998,122.389999,119.943962,4740400
2020-11-03,124.010002,125.500000,123.190002,124.589996,122.099991,3490900
2020-11-04,125.330002,128.929993,125.260002,127.339996,124.795036,5061800
2020-11-05,129.190002,130.410004,128.460007,129.699997,127.107887,3940000
2020-11-06,129.910004,129.910004,128.350006,128.899994,126.323845,2954000
2020-11-09,135.059998,136.350006,128.770004,128.949997,126.372841,7491700
2020-11-10,130.050003,130.119995,126.250000,127.709999,125.157639,8014700
2020-11-11,128.690002,129.800003,127.180000,127.660004,125.108650,6058700
2020-11-12,126.620003,127.839996,125.629997,126.639999,124.109032,4780400
2020-11-13,127.910004,128.600006,126.830002,128.279999,125.716255,3986100
2020-11-16,129.460007,130.320007,127.370003,130.110001,127.509666,6116200
2020-11-17,130.479996,132.600006,129.110001,132.210007,129.567719,7002900
2020-11-18,133.070007,133.979996,131.529999,131.630005,128.999329,5572800
2020-11-19,131.919998,132.110001,129.929993,131.910004,129.273712,4642800
2020-11-20,133.300003,133.529999,131.910004,132.979996,130.322327,4318100
2020-11-23,134.380005,134.889999,133.089996,134.130005,131.449341,6118400
2020-11-24,135.000000,135.990005,134.210007,134.699997,132.007950,7204700
2020-11-25,134.250000,135.800003,133.619995,135.539993,132.831161,4484500
2020-11-27,136.000000,136.130005,133.339996,134.250000,131.566925,3506800
2020-11-30,133.910004,135.289993,132.690002,134.699997,132.007950,9652500
2020-12-01,136.440002,136.500000,134.750000,135.440002,132.733154,3833100
2020-12-02,135.160004,136.320007,134.669998,135.580002,132.870361,4132700
2020-12-03,135.100006,137.949997,135.000000,136.960007,134.222778,4930900
2020-12-04,137.080002,137.399994,135.639999,137.190002,134.718689,4344000
2020-12-07,137.000000,138.860001,136.800003,138.750000,136.250580,4590800
2020-12-08,138.240005,140.440002,137.649994,139.119995,136.613922,6953600
2020-12-09,140.570007,140.570007,138.270004,138.789993,136.289871,4341300
2020-12-10,138.279999,139.139999,137.240005,137.580002,135.101669,4511000
2020-12-11,137.389999,138.139999,136.229996,137.410004,134.934692,4172400
2020-12-14,138.919998,139.000000,136.199997,136.279999,133.825073,7599000
2020-12-15,137.429993,139.440002,137.250000,139.389999,136.879028,7637000
2020-12-16,139.070007,140.490005,137.460007,138.339996,135.847977,6573400
2020-12-17,139.919998,140.740005,138.750000,140.500000,137.969055,8727000
2020-12-18,141.089996,141.139999,137.169998,137.279999,134.807053,17970800
2020-12-21,144.820007,147.949997,142.509995,144.020004,141.425659,16111300
2020-12-22,143.050003,143.470001,141.089996,142.449997,139.883957,6339400
2020-12-23,142.559998,143.600006,141.699997,141.759995,139.206345,3388300
2020-12-24,141.100006,142.190002,141.100006,141.600006,139.049271,1821900
2020-12-28,142.539993,142.919998,141.039993,142.429993,139.864288,4081500
2020-12-29,142.830002,143.059998,140.429993,141.570007,139.019791,3232400
2020-12-30,142.160004,142.610001,140.660004,141.580002,139.029617,3052100
2020-12-31,141.699997,141.789993,140.369995,141.470001,138.921600,2949900
2021-01-04,142.850006,142.970001,138.320007,140.100006,137.576279,6178500
2021-01-05,138.600006,141.660004,138.600006,141.229996,138.685913,4163100
2021-01-06,141.250000,143.570007,139.529999,142.350006,139.785751,6072900
2021-01-07,143.199997,145.639999,143.000000,144.949997,142.338898,5256900
2021-01-08,145.550003,146.820007,144.899994,146.350006,143.713699,3950500
2021-01-11,146.000000,147.100006,144.800003,147.050003,144.401093,4252000
2021-01-12,146.500000,146.850006,144.380005,145.050003,142.437103,3678800
2021-01-13,144.830002,145.130005,142.429993,143.039993,140.463287,3330100
2021-01-14,143.660004,144.899994,140.929993,141.300003,138.754654,4104000
2021-01-15,140.559998,142.380005,139.880005,140.720001,138.185089,6412400
2021-01-19,140.990005,141.220001,138.410004,139.270004,136.761215,6537800
2021-01-20,140.380005,143.210007,140.009995,142.800003,140.227615,4654400
2021-01-21,142.410004,143.809998,141.130005,141.610001,139.059067,4011200
2021-01-22,141.089996,141.880005,139.309998,139.350006,136.839798,4150500
2021-01-25,138.990005,139.179993,134.740005,137.550003,135.072220,5998700
2021-01-26,137.759995,137.850006,134.710007,135.100006,132.666336,5312300
2021-01-27,132.220001,132.860001,130.270004,131.020004,128.659836,7815900
2021-01-28,132.360001,136.369995,131.500000,134.720001,132.293167,6244600
2021-01-29,133.949997,135.029999,132.149994,133.589996,131.183502,7166100
2021-02-01,135.369995,136.050003,133.300003,135.710007,133.265366,4366800
2021-02-02,137.059998,139.860001,136.750000,139.589996,137.075455,7132800
2021-02-03,139.699997,140.059998,138.009995,138.630005,136.132751,4678600
2021-02-04,139.550003,141.050003,138.919998,140.630005,138.096710,4533700
2021-02-05,141.339996,145.570007,141.289993,145.110001,142.496017,6151500
2021-02-08,145.149994,145.880005,142.800003,143.410004,140.826630,6304300
2021-02-09,143.600006,144.220001,141.699997,141.789993,139.235809,3436300
2021-02-10,142.449997,142.600006,140.899994,142.460007,139.893768,4125700
2021-02-11,143.000000,144.350006,142.410004,143.539993,140.954269,3828700
2021-02-12,143.110001,143.449997,141.399994,142.119995,139.559860,3637000
2021-02-16,143.369995,143.369995,141.029999,141.710007,139.157272,4873400
2021-02-17,141.300003,144.559998,140.210007,143.990005,141.396194,6437100
2021-02-18,142.979996,145.389999,141.210007,145.089996,142.476379,4486800
2021-02-19,145.429993,145.500000,141.500000,142.020004,139.461670,7486000
